Cell_ID	Cluster	Trajectory_ID	Pseudo_time	X_coord	Y_coord
Cell_1	3	1	NA	3.72354088358321	6.25264846049687
Cell_2	2	1	NA	1.37781942167901	-0.395856625440827
Cell_3	1	1	NA	-4.83098252048295	-3.97647180404373
Cell_4	2	1	NA	4.48123189874174	2.75237006276843
Cell_5	2	1	NA	4.24958394995117	2.93165042383521
Cell_6	1	1	NA	0.111270536997791	-1.76253351409124
Cell_7	1	1	NA	-6.64629109466762	-4.27383763130994
Cell_8	2	1	NA	1.71157683587296	-1.38019544941075
Cell_9	2	1	NA	3.90974348336917	4.39703506798881
Cell_10	3	1	NA	2.02716608606229	8.13648611978834
Cell_11	2	1	NA	2.96470509570329	0.26022413615251
Cell_12	3	1	NA	3.19689888712233	6.51137756517053
Cell_13	1	1	NA	4.28256943934775	0.0609892102888918
Cell_14	1	1	NA	0.982864187433973	-1.52180999786072
Cell_15	1	1	NA	-4.72075559431293	-4.46440389694524
Cell_16	2	1	NA	4.34850295833429	3.12060664999867
Cell_17	1	1	NA	-6.15053761245314	-4.4553851393576
Cell_18	2	1	NA	3.89176041675618	3.19018122377833
Cell_19	1	1	NA	0.394821598443611	-0.52266470605446
Cell_20	1	1	NA	-7.55078125788926	-4.53162246179294
Cell_21	2	1	NA	1.34074575983513	-0.0122322577853324
Cell_22	1	1	NA	-0.891854100052482	-2.39671190176123
Cell_23	1	1	NA	-6.64411092685598	-3.48235056140274
Cell_24	1	1	NA	-2.35483949060464	-4.1713502600316
Cell_25	1	1	NA	0.5354292041584	-1.78923350596889
Cell_26	1	1	NA	-2.60636301434374	-3.15906165061586
Cell_27	1	1	NA	-5.92679516515108	-4.72739373666424
Cell_28	1	1	NA	-5.43093552520559	-4.62517857558114
Cell_29	1	1	NA	-3.8503108772723	-3.24906122227801
Cell_30	1	1	NA	0.365186342025834	-2.10086106893338
Cell_31	2	1	NA	3.26952686516746	5.09472178917671
Cell_32	1	1	NA	1.09768453750841	-1.61156701934817
Cell_33	2	1	NA	3.42246800175961	4.88441327874159
Cell_34	1	1	NA	-1.18635703035038	-2.92966741016321
Cell_35	1	1	NA	0.300871876841727	-2.30092174700993
Cell_36	2	1	NA	1.58657857431902	-1.20218606355514
Cell_37	2	1	NA	3.70572167810098	0.971745820409977
Cell_38	2	1	NA	2.19473511577297	-1.02052313668204
Cell_39	1	1	NA	-2.01004646835606	-2.5756468838519
Cell_40	3	1	NA	-0.454870354660295	9.08527388942868
Cell_41	3	1	NA	3.71477679503198	5.69613891187956
Cell_42	1	1	NA	-5.02720601013493	-4.58391738904743
Cell_43	2	1	NA	1.95860750444224	-1.59312245573991
Cell_44	2	1	NA	1.70755049998656	-0.0135072361619488
Cell_45	2	1	NA	2.55881035327496	-0.291774949263232
Cell_46	2	1	NA	2.3992021930408	-0.803082349849259
Cell_47	2	1	NA	3.31585818301104	3.48056310958089
Cell_48	2	1	NA	1.6930675848674	-1.08107835213175
Cell_49	2	1	NA	1.97062926585186	-0.572747920938479
Cell_50	1	1	NA	-2.52461400855401	-3.88546748911184
Cell_51	2	1	NA	3.17372716110782	2.69276350798826
Cell_52	1	1	NA	-0.911892860237157	-1.37577653750732
Cell_53	1	1	NA	-2.36949578091523	-3.67730981601407
Cell_54	2	1	NA	2.52393177515153	-0.750186463053802
Cell_55	1	1	NA	-7.53793285393493	-4.22599322679874
Cell_56	3	1	NA	-1.45322649598421	9.30154594870353
Cell_57	1	1	NA	1.16882863439959	-0.242835133959878
Cell_58	1	1	NA	-0.42572016816181	-1.20833378419196
Cell_59	2	1	NA	3.11956999031385	2.36748189059363
Cell_60	2	1	NA	1.53106532051637	-0.803420101159854
Cell_61	1	1	NA	0.937796014861144	-1.3619559231191
Cell_62	2	1	NA	2.09550967507855	0.0198451828407809
Cell_63	1	1	NA	-6.58292574299729	-4.60209536503099
Cell_64	2	1	NA	1.54863351352154	-1.29961869058776
Cell_65	1	1	NA	-1.00942770377659	-2.07660879420219
Cell_66	1	1	NA	1.22350424072035	-1.62983193585305
Cell_67	2	1	NA	3.88077228207051	2.32598687458814
Cell_68	1	1	NA	-2.42718585393664	-3.69917483473384
Cell_69	2	1	NA	1.69563826410707	0.910222846834744
Cell_70	2	1	NA	3.69989793719199	3.30227580998082
Cell_71	2	1	NA	1.6797570390014	-0.169436259318951
Cell_72	2	1	NA	1.27035063201932	-0.173467433705843
Cell_73	1	1	NA	-4.58238841122281	-3.59964770649368
Cell_74	1	1	NA	-0.992117898307346	-1.8176507595664
Cell_75	3	1	NA	2.53821133047743	7.77118005841327
Cell_76	2	1	NA	2.33370934712059	-1.48451160742689
Cell_77	1	1	NA	-2.02757333398352	-3.87375861076215
Cell_78	1	1	NA	-1.86781529924371	-3.05718205407919
Cell_79	1	1	NA	0.973181400610304	-1.90375811859029
Cell_80	1	1	NA	-2.98755608542044	-3.41288117865898
Cell_81	1	1	NA	-2.47447477963258	-3.78642304152132
Cell_82	2	1	NA	2.63100865774841	0.421324990522016
Cell_83	2	1	NA	2.63537742805138	1.53639871905644
Cell_84	1	1	NA	-4.87208650528815	-3.57611743868989
Cell_85	1	1	NA	-0.704520023753139	-1.60987799076214
Cell_86	1	1	NA	-4.61542908735008	-4.08557706277149
Cell_87	1	1	NA	-3.94738263625769	-2.42151775715492
Cell_88	2	1	NA	3.80459839742976	4.75906842063311
Cell_89	1	1	NA	-1.9769007533909	-1.84083914768011
Cell_90	2	1	NA	3.39055347969167	-0.297234987838371
Cell_91	2	1	NA	2.83309621881353	1.07888859672716
Cell_92	1	1	NA	-4.93757532478441	-4.43608267127027
Cell_93	1	1	NA	-0.969944719958851	-4.74785832941939
Cell_94	2	1	NA	2.13741654554566	-0.171818859146114
Cell_95	1	1	NA	1.54760622462167	-2.06527632221246
Cell_96	2	1	NA	2.63343474513617	1.91327025564788
Cell_97	1	1	NA	-0.455309851900617	-2.95217391773254
Cell_98	2	1	NA	1.4645032288694	-1.28070861609766
Cell_99	2	1	NA	1.91799784392358	-1.59717575040979
Cell_100	2	1	NA	3.93559327653335	1.37064913098267
Cell_101	1	1	NA	-1.25724001402117	-2.98072920660989
Cell_102	1	1	NA	0.880328301551175	-0.206327746762883
Cell_103	2	1	NA	3.48967062107433	5.27192048170576
Cell_104	3	1	NA	2.86841194238973	6.86840614842705
Cell_105	2	1	NA	4.00544383047371	2.34693630235275
Cell_106	2	1	NA	4.33224860716574	5.10243260276223
Cell_107	1	1	NA	-2.74037316687067	-3.80766152968003
Cell_108	2	1	NA	2.5385831026979	-0.159349164489552
Cell_109	1	1	NA	-1.11111263829946	-2.89143443260735
Cell_110	1	1	NA	3.7750808649476	-7.76327841018048
Cell_111	1	1	NA	0.407852742235068	-2.26160260748542
Cell_112	2	1	NA	2.68772968121768	2.16044302177562
Cell_113	1	1	NA	-6.66473636152444	-3.63025947294943
Cell_114	3	1	NA	0.963150117616842	8.71011612092013
Cell_115	1	1	NA	-2.46239230943847	-3.66344124276019
Cell_116	1	1	NA	-6.05099396216058	-4.38562708853791
Cell_117	2	1	NA	2.71020473712815	0.733318223338817
Cell_118	1	1	NA	-1.45328248576305	-2.98702922844962
Cell_119	1	1	NA	-1.84290541848712	-3.29290481527476
Cell_120	1	1	NA	1.12441468855317	-0.878577111973047
Cell_121	1	1	NA	-0.962054716261543	-1.92679368052759
Cell_122	1	1	NA	-0.824437005537901	-2.23448046250518
Cell_123	3	1	NA	-0.603552860228071	9.13346823766818
Cell_124	2	1	NA	2.05664756883588	-0.936208378189717
Cell_125	1	1	NA	-5.23372716887613	-4.19637794089038
Cell_126	1	1	NA	-1.11786033139746	-2.91252987592414
Cell_127	1	1	NA	-2.16639259872123	-3.39637633142864
Cell_128	2	1	NA	3.59715355992974	5.25873066036814
Cell_129	2	1	NA	2.68780128257691	-0.301353253686114
Cell_130	1	1	NA	-3.6388618584533	-3.31913591726281
Cell_131	3	1	NA	1.07039189435015	8.71313832365907
