,ALRA,DCA,MAGIC,SAVER,scImpute,scRMD
Iter_1,6.566709731605366e-05,0.21557839122136713,0.24808701465734398,6.567667616044636e-05,0.53613808064145,6.51697063624767e-05
Iter_2,7.543136788851376e-05,0.22356996032155288,0.23069461573407501,7.544525229615129e-05,0.5455097738691714,7.477345501614012e-05
Iter_3,6.248148372890177e-05,0.22997041097411328,0.23008773860585535,6.249056748631359e-05,0.5397549043735959,6.197399522031618e-05
Iter_4,6.667994437962794e-05,0.21496457161674576,0.2383523889914782,6.67064721211175e-05,0.5464835238600169,6.612911525849378e-05
Iter_5,6.749347498429528e-05,0.23111700485353717,0.21879377791025123,6.750277443977514e-05,0.5498872979003897,6.692308639760039e-05
