Algorithm,Problem,ExecutionId,IndicatorValue
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli1-trajectories_exp,1,0.579521844876842
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli1-trajectories_exp,2,0.5670757528238821
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli1-trajectories_exp,3,0.592642370979389
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli1-trajectories_exp,4,0.5660886996472515
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli2-trajectories_exp,0,0.6700423482321303
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli2-trajectories_exp,1,0.6410564171894021
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli2-trajectories_exp,2,0.6450079423953391
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli2-trajectories_exp,3,0.6243926289383974
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Ecoli2-trajectories_exp,4,0.6274069470582275
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast1-trajectories_exp,0,0.6569376068473273
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast1-trajectories_exp,1,0.677483382148881
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast1-trajectories_exp,2,0.650558920826633
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast1-trajectories_exp,3,0.6774902210616894
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast1-trajectories_exp,4,0.6418898038195725
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast2-trajectories_exp,0,0.5532666931372632
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast2-trajectories_exp,1,0.5890374975725832
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast2-trajectories_exp,2,0.6108118639848811
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast2-trajectories_exp,3,0.6410563011470369
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast2-trajectories_exp,4,0.5648548053288414
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast3-trajectories_exp,0,0.44455240299711574
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast3-trajectories_exp,1,0.4035781638423316
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast3-trajectories_exp,2,0.4273228097074652
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast3-trajectories_exp,3,0.40421419830288946
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize100-Yeast3-trajectories_exp,4,0.36216393006437847
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli1-trajectories_exp,0,0.730999355911298
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli1-trajectories_exp,1,0.7459706019649059
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli1-trajectories_exp,2,0.4076688346640601
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli1-trajectories_exp,3,0.5177070954506586
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli1-trajectories_exp,4,0.7409798075402495
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli2-trajectories_exp,0,0.532576998040232
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli2-trajectories_exp,1,0.6081124595750762
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli2-trajectories_exp,2,0.4781112835320923
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli2-trajectories_exp,3,0.4731563989300408
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Ecoli2-trajectories_exp,4,0.521682567872387
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast1-trajectories_exp,0,0.8506650121861615
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast1-trajectories_exp,1,0.8564390307581947
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast1-trajectories_exp,2,0.8875585119990753
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast1-trajectories_exp,3,0.8586397555501647
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast1-trajectories_exp,4,0.8555189429270691
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast2-trajectories_exp,0,0.7164033844983347
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast2-trajectories_exp,1,0.7089868032262137
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast2-trajectories_exp,2,0.7907009578167198
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast2-trajectories_exp,3,0.685861359117945
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast2-trajectories_exp,4,0.6605807831402586
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast3-trajectories_exp,0,0.6819852884361842
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast3-trajectories_exp,1,0.46554918707789794
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast3-trajectories_exp,2,0.5724323929733425
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast3-trajectories_exp,3,0.4564671602432647
NSGAII-PS100-CP0.7-MP0.05-NP3-MS0.1,InSilicoSize10-Yeast3-trajectories_exp,4,0.5714492488674192
